"","Count_180","idSensore","Year","Month","Count_120"
"579",0,5718,2010,8,8
"580",0,5718,2010,9,2
"581",0,5718,2010,10,0
"582",0,5718,2011,4,3
"583",2,5718,2011,5,16
"584",1,5718,2011,6,7
"585",0,5718,2011,7,10
"586",2,5718,2011,8,22
"587",0,5718,2011,9,5
"588",0,5718,2011,10,0
"589",0,5718,2012,4,1
"590",0,5718,2012,5,9
"591",1,5718,2012,6,13
"592",0,5718,2012,7,14
"593",1,5718,2012,8,19
"594",0,5718,2012,9,2
"595",0,5718,2012,10,0
"596",0,5718,2013,4,0
"597",0,5718,2013,5,0
"598",0,5718,2013,6,9
"599",3,5718,2013,7,27
"600",1,5718,2013,8,17
"601",0,5718,2013,9,4
"602",0,5718,2013,10,0
"603",0,5718,2014,4,0
"604",0,5718,2014,5,1
"605",NA,5718,2014,6,NA
"606",0,5718,2014,7,4
"607",0,5718,2014,8,2
"608",0,5718,2014,9,0
"609",0,5718,2014,10,0
"610",0,5718,2015,4,3
"611",0,5718,2015,5,8
"612",3,5718,2015,6,18
"613",9,5718,2015,7,28
"614",4,5718,2015,8,15
"615",0,5718,2015,9,0
"616",0,5718,2015,10,0
"617",0,5718,2016,4,1
"618",NA,5718,2016,5,NA
"619",3,5718,2016,6,11
"620",3,5718,2016,7,22
"621",0,5718,2016,8,19
"622",1,5718,2016,9,9
"623",0,5718,2016,10,0
"624",0,5718,2017,4,2
"625",0,5718,2017,5,10
"626",1,5718,2017,6,17
"627",0,5718,2017,7,14
"628",4,5718,2017,8,21
"629",0,5718,2017,9,1
"630",0,5718,2017,10,0
"631",0,5718,2018,4,4
"632",0,5718,2018,5,3
"633",0,5718,2018,6,12
"634",0,5718,2018,7,19
"635",NA,5718,2018,8,NA
"636",NA,5718,2018,9,NA
"637",0,5718,2018,10,0
"638",0,5718,2019,4,0
"639",0,5718,2019,5,1
"640",NA,5718,2019,6,NA
"641",1,5718,2019,7,17
"642",0,5718,2019,8,8
"643",0,5718,2019,9,1
"644",0,5718,2019,10,0
"645",0,5718,2020,4,1
"646",0,5718,2020,5,1
"647",0,5718,2020,6,3
"648",0,5718,2020,7,11
"649",0,5718,2020,8,12
"650",0,5718,2020,9,5
"651",0,5718,2020,10,0
"652",0,5718,2021,4,1
"653",0,5718,2021,5,1
"654",1,5718,2021,6,12
"655",0,5718,2021,7,9
"656",0,5718,2021,8,8
"657",0,5718,2021,9,7
"658",0,5718,2021,10,0
"659",0,5718,2022,4,0
"660",0,5718,2022,5,12
"661",1,5718,2022,6,16
"662",0,5718,2022,7,28
"663",0,5718,2022,8,17
"664",0,5718,2022,9,1
"665",0,5718,2022,10,0
"666",0,5718,2023,4,0
"667",0,5718,2023,5,4
"668",0,5718,2023,6,19
"669",0,5718,2023,7,10
"670",1,5718,2023,8,15
"671",0,5718,2023,9,9
"672",NA,5718,2023,10,NA
