"","Count_180","idSensore","Year","Month","Zone","Area","Type"
"552",1,5718,2006,9,"A","U","B"
"553",0,5718,2006,10,"A","U","B"
"554",0,5718,2007,4,"A","U","B"
"555",1,5718,2007,5,"A","U","B"
"556",NA,5718,2007,6,"A","U","B"
"557",5,5718,2007,7,"A","U","B"
"558",1,5718,2007,8,"A","U","B"
"559",0,5718,2007,9,"A","U","B"
"560",0,5718,2007,10,"A","U","B"
"561",0,5718,2008,4,"A","U","B"
"562",0,5718,2008,5,"A","U","B"
"563",1,5718,2008,6,"A","U","B"
"564",2,5718,2008,7,"A","U","B"
"565",2,5718,2008,8,"A","U","B"
"566",0,5718,2008,9,"A","U","B"
"567",0,5718,2008,10,"A","U","B"
"568",0,5718,2009,4,"A","U","B"
"569",1,5718,2009,5,"A","U","B"
"570",0,5718,2009,6,"A","U","B"
"571",0,5718,2009,7,"A","U","B"
"572",0,5718,2009,8,"A","U","B"
"573",0,5718,2009,9,"A","U","B"
"574",0,5718,2009,10,"A","U","B"
"575",0,5718,2010,4,"A","U","B"
"576",0,5718,2010,5,"A","U","B"
"577",1,5718,2010,6,"A","U","B"
"578",4,5718,2010,7,"A","U","B"
"579",0,5718,2010,8,"A","U","B"
"580",0,5718,2010,9,"A","U","B"
"581",0,5718,2010,10,"A","U","B"
"582",0,5718,2011,4,"A","U","B"
"583",2,5718,2011,5,"A","U","B"
"584",1,5718,2011,6,"A","U","B"
"585",0,5718,2011,7,"A","U","B"
"586",2,5718,2011,8,"A","U","B"
"587",0,5718,2011,9,"A","U","B"
"588",0,5718,2011,10,"A","U","B"
"589",0,5718,2012,4,"A","U","B"
"590",0,5718,2012,5,"A","U","B"
"591",1,5718,2012,6,"A","U","B"
"592",0,5718,2012,7,"A","U","B"
"593",1,5718,2012,8,"A","U","B"
"594",0,5718,2012,9,"A","U","B"
"595",0,5718,2012,10,"A","U","B"
"596",0,5718,2013,4,"A","U","B"
"597",0,5718,2013,5,"A","U","B"
"598",0,5718,2013,6,"A","U","B"
"599",3,5718,2013,7,"A","U","B"
"600",1,5718,2013,8,"A","U","B"
"601",0,5718,2013,9,"A","U","B"
"602",0,5718,2013,10,"A","U","B"
"603",0,5718,2014,4,"A","U","B"
"604",0,5718,2014,5,"A","U","B"
"605",NA,5718,2014,6,"A","U","B"
"606",0,5718,2014,7,"A","U","B"
"607",0,5718,2014,8,"A","U","B"
"608",0,5718,2014,9,"A","U","B"
"609",0,5718,2014,10,"A","U","B"
"610",0,5718,2015,4,"A","U","B"
"611",0,5718,2015,5,"A","U","B"
"612",3,5718,2015,6,"A","U","B"
"613",9,5718,2015,7,"A","U","B"
"614",4,5718,2015,8,"A","U","B"
"615",0,5718,2015,9,"A","U","B"
"616",0,5718,2015,10,"A","U","B"
"617",0,5718,2016,4,"A","U","B"
